Question ID,Question Type,Difficulty Level,media_url,Question Text,Answer Options,Correct Answer,Skill Sets,Associated Skill,,
93,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/1_24.mp3,What kind of a place are the speakers talking about?,"Hotel, Restaurant, Gallery, Ocean boardwalk",Hotel,Listening Comprehension,Listening & Comprehension,,
94,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/1_28.mp3,What are the speakers talking about?,"A new cellular phone, A more affordable service, A monthly phone statement, A different job",A monthly phone statement,Listening Comprehension,Listening & Comprehension,,
95,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/1_31.mp3,What does the man mean?,"She ought to realize how much she has to pay, She shouldn't take the lessons, She has to save money before signing up, She wouldn't agree with everyone",She shouldn't take the lessons,Listening Comprehension,Listening & Comprehension,,
96,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/050.mp3,What can be inferred about Jim?,"He's not an organized person, He likes to put everything in the closet, He lives in a neat house, He moved in not too long ago",He's not an organized person,Listening Comprehension,Listening & Comprehension,,
97,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/080.mp3,What does the man mean?,"He dislikes wearing name tags, He may tear the tag at the orientation meeting, He's well known, Everyone should remember who he is",He's well known,Listening Comprehension,Listening & Comprehension,,
98,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/090.mp3,What does the woman say about Stacy?,"She spends a lot of time on her hobby, She's fascinated by different kinds of butterflies, She's been collecting butterflies for a long time, Her collection has been around for several years",She's been collecting butterflies for a long time,Listening Comprehension,Listening & Comprehension,,
99,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/110.mp3,What will the man probably do?,"Cool off at the pool, Stay out of the pool, Swim only on hot days, Sit in the shade nearby",Stay out of the pool,Listening Comprehension,Listening & Comprehension,,
100,Auditory,Mid,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Mid+Band/120.mp3,What can be assumed about the man?,"He needs to take certain courses in order to graduate, He's able to graduate despite the lack of funding, It's too bad he's still in school, He can't take courses that aren't approved",He needs to take certain courses in order to graduate,Listening Comprehension,Listening & Comprehension,,
101,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D.mp3,What does the woman say about the bus?,"It is late, It stops in a different place, It has broken down, It already came",It is late,Listening Comprehension,Listening & Comprehension,,
102,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(1).mp3,What will the woman probably do the following day?,"drive to the city, watch the parade on television, give the man's family a ride, take the train to the city",take the train to the city,Inference,Listening & Comprehension,,
103,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(2).mp3,What does the woman hope to do?,"learn to cook, bring lunch from home, avoid bad weather, try some new restaurants",bring lunch from home,Inference,Listening & Comprehension,,
104,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(3).mp3,What will the students do tomorrow?,"call the professor for their grades, turn in their papers, make appointments to see the professor, pick up their quizzes",pick up their quizzes,Inference,Listening & Comprehension,,
105,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(4).mp3,What does the woman most likely want to do?,"compare different phone models, have her phone repaired, receive a refund, explain her problem",have her phone repaired,Inference,Listening & Comprehension,,
106,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(5).mp3,How did the man feel when he heard the news?,"happy, surprised, embarrassed, angry",surprised,Inference,Listening & Comprehension,,
107,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(6).mp3,What does the woman imply about the man?,"He should continue down the street, He's going to be late, He's going in the wrong direction, He should take a bus",He's going to be late,Inference,Listening & Comprehension,,
108,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(7).mp3,How does the man feel?,"nervous, confident, confused, excited",nervous,Inference,Listening & Comprehension,,
109,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(8).mp3,What is probably true about the company?,"It has new owners, It is expanding rapidly, It has lost many staff recently, It is having financial problems",It is expanding rapidly,Inference,Listening & Comprehension,,
110,Auditory,Medium,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Medium+Band/MET_Sample-Test-PART-1-%5BAudioTrimmer.com%5D+(9).mp3,What happened when the man went to university?,"He took his instrument with him, He stopped playing the piano, He began playing a new instrument, He signed up for music classes",He stopped playing the piano,Inference,Listening & Comprehension,,
111,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/003_a.mp3,Why is the man looking for an apartment?,"He can't afford his rent, His present place is too cramped, His roommate doesn't like the apartment, He wants to be close to campus",He wants to be close to campus,Listening for details,Listening & Comprehension,,
112,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/002_a.mp3,What is the purpose of the conversation?,"An introduction to a synthetic product, The major components of an aquarium, The requirements for waste removal, The water temperature gauge",The major components of an aquarium,Identifying purpose,Listening & Comprehension,,
113,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/001_a.mp3,What is the main purpose of the talk?,"To analyze a few movie production techniques, To explain the effects of VCRs, To give statistical data for VCRs' growing market, To promote the film industry",To explain the effects of VCRs,Identifying purpose,Listening & Comprehension,,
114,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/002_a+(1).mp3,What does the speaker mainly discuss?,"The Properties of Matter, A revised book along with its supplement, Test-taking strategies for non-science majors, The major suppliers of resource materials",A revised book along with its supplement,Identifying main idea,Listening & Comprehension,,
115,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/003_a+(1).mp3,What is the purpose of the talk?,"To provide general information about malls, To discuss investment opportunities, To redefine the concept of the malls, To credit the landscape consultant firm",To provide general information about malls,Identifying purpose,Listening & Comprehension,,
116,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/004_a.mp3,What is the purpose of the talk?,"To identify business applications for electronic services, To explain a variety of online computerized services, To illustrate network communication difficulties, To project the revenue for the information retrieval industry",To explain a variety of online computerized services,Identifying purpose,Listening & Comprehension,,
117,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/001_a+(1).mp3,What did the person choose?,"A mug with the university logo, A T-shirt with a matching hat, A book, A calendar",A T-shirt with a matching hat,Listening for details,Listening & Comprehension,,
118,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/003_a+(2).mp3,What did the person agree to do?,"Change her class time, Contact a travel agency, Set up individual conferences, Teach her class while she's away",Teach her class while she's away,Listening for details,Listening & Comprehension,,
119,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/007_a.mp3,What was demonstrated?,"To persuade the readers to chew their food longer, To demonstrate it's easier to digest food when it's broken down, To compare iodine's reaction to different chemicals, To give specific directions for the experiment",To demonstrate it's easier to digest food when it's broken down,Listening for details,Listening & Comprehension,,
120,Auditory,Hard,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Hard+Band/001_a+(2).mp3,Who is the target audience?,"Computer graphics designers, Online database specialists, Computer science majors, Individuals at low and intermediate levels of proficiency",Individuals at low and intermediate levels of proficiency,Identifying target audience,Listening & Comprehension,,
121,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample-Test-PART-2-%5BAudioTrimmer.com%5D.mp3,Why does the man mention next year?,"He will start a new business then, He will miss the conference then, He thinks the economy will be better then, He thinks his business may be closed then",He thinks the economy will be better then,Listening Comprehension,Listening & Comprehension,,
122,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample-Test-PART-2-%5BAudioTrimmer.com%5D+(1).mp3,Why does the man tell the woman she’s lucky?,"The item she wants is on sale, The store is open late today, He has what she is looking for, She is getting married",He has what she is looking for,Listening Comprehension,Listening & Comprehension,,
123,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample-Test-PART-2-%5BAudioTrimmer.com%5D+(2).mp3,What will the woman probably do?,"get the electronic version of the book, borrow the book from her friend, check the book out from the library, come back later to get the book",check the book out from the library,Reasoning/Understanding,Listening & Comprehension,,
124,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample-Test-PART-2-%5BAudioTrimmer.com%5D+(3).mp3,Why does the woman talk about research studies?,"to explain how she got her idea, to argue against the man’s opinion, to describe the type of work she enjoys, to explain what she’ll discuss with her students",to explain what she’ll discuss with her students,Listening Comprehension,Listening & Comprehension,,
125,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample+Test_Listening+Section+Audio_PART+2-%5BAudioTrimmer.com%5D.mp3,Why does the woman mention cooking?,"to invite the man to dinner, to ask the man to teach her, to tell why she wants a big kitchen, to explain the size of table she needs",to explain the size of table she needs,Reasoning/Understanding,Listening & Comprehension,,
126,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample+Test_Listening+Section+Audio_PART+2-%5BAudioTrimmer.com%5D+(1).mp3,What are the speakers going to do next?,"select a topic for the next paper, practice writing transitions, make sentences of different lengths, talk to the professor",practice writing transitions,Listening Comprehension,Listening & Comprehension,,
127,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample+Test_Listening+Section+Audio_PART+2-%5BAudioTrimmer.com%5D+(2).mp3,Why does the woman mention her family?,"They live nearby, They pay for her training, They will visit her at school, They will move out of state",They live nearby,Listening Comprehension,Listening & Comprehension,,
128,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET_Sample+Test_Listening+Section+Audio_PART+2-%5BAudioTrimmer.com%5D+(3).mp3,What does the man do most evenings?,"He stays home, He goes out to eat, He goes to see a movie, He works at a restaurant",He works at a restaurant,Listening Comprehension,Listening & Comprehension,,
129,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET+exam+-+Listening+Practice+Test+-+Yul+Ayala+Tutor-%5BAudioTrimmer.com%5D.mp3,"According to the woman, what will happen soon?","She will move in to the apartment, The apartment will be cleaned, The apartment will be painted, New carpet will be installed",The apartment will be cleaned,Listening Comprehension,Listening & Comprehension,,
130,Auditory,Advanced,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Advanced+Band/MET+exam+-+Listening+Practice+Test+-+Yul+Ayala+Tutor-%5BAudioTrimmer.com%5D+(1).mp3,What did the man tell the company about his salary?,"He is willing to negotiate, He does not want to discuss it, He is making more money now, He cannot accept their offer",He is willing to negotiate,Reasoning/Understandin,Listening & Comprehension,,
131,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample-Test-PART-3-%5BAudioTrimmer.com%5D.mp3,Why does the speaker mention fish?,"to tell the listeners what they’ll do next, to compare the behavior of different animals, to explain what one bird is doing, to describe what lives in the lake",to explain what one bird is doing,Listening Comprehension,Listening & Comprehension,,
132,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample-Test-PART-3-%5BAudioTrimmer.com%5D+(1).mp3,What will the meeting participants most likely do next?,"discuss the project’s budget, visit a store, view some drawings, sign a contract",view some drawings,Listening Comprehension,Listening & Comprehension,,
133,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample-Test-PART-3-%5BAudioTrimmer.com%5D+(2).mp3,What does the speaker say about other teachers?,"They help with the sports programs, They teach a variety of subjects, They will also talk to the parents, They will take the parents on a tour",They will also talk to the parents,Listening Comprehension,Listening & Comprehension,,
134,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample-Test-PART-3-%5BAudioTrimmer.com%5D+(3).mp3,What does the speaker wish he could do?,"be a student at City College, touch museum objects, meet a famous artist, own an ancient Greek bowl",touch museum objects,Listening Comprehension,Listening & Comprehension,,
135,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample+Test_Listening+Section+Audio_PART+3-%5BAudioTrimmer.com%5D.mp3,Who will be most affected by the information?,"most new company employees, employees located in a certain area, outside workers brought in for a project, company managers and supervisors",employees located in a certain area,Listening Comprehension,Listening & Comprehension,,
136,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample+Test_Listening+Section+Audio_PART+3-%5BAudioTrimmer.com%5D+(1).mp3,"Why are pharmacists, doctors, and engineers mentioned?","to list professions for people interested in chemistry, to describe positions that require extensive experience, to mention that other presentations will be given, to acknowledge the people involved in a project",to list professions for people interested in chemistry,Listening Comprehension,Listening & Comprehension,,
137,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample+Test_Listening+Section+Audio_PART+3-%5BAudioTrimmer.com%5D+(2).mp3,What is the speaker’s attitude about daylight saving time?,"It has benefits other than energy conservation, It needs to be studied in other areas, It benefits only a small group of people, It should be used all the time",It has benefits other than energy conservation,Listening Comprehension,Listening & Comprehension,,
138,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET_Sample+Test_Listening+Section+Audio_PART+3-%5BAudioTrimmer.com%5D+(3).mp3,Why is Dr. Baker going to speak to the students?,"to discuss her position at the university, to talk about a device used in research, to talk about a different bird species, to discuss the dangers of doing field research",to talk about a device used in research,Listening Comprehension,Listening & Comprehension,,
139,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET+exam+-+Listening+Practice+Test+-+Yul+Ayala+Tutor-%5BAudioTrimmer.com%5D+(2).mp3,What does the speaker say about teenage girls who spend a lot of time online?,"They often use the internet to buy their music, They spend lots of money on music magazines, They like buying music at the store, They attend a lot of live concerts",They often use the internet to buy their music,Listening Comprehension,Listening & Comprehension,,
140,Auditory,Exceptional,https://fyp-titans.s3.eu-north-1.amazonaws.com/Auditory/Exceptional+Band/MET+exam+-+Listening+Practice+Test+-+Yul+Ayala+Tutor-%5BAudioTrimmer.com%5D+(3).mp3,"After the talk was finished, what did the speaker expect the audience to do?","ask her some questions, come pick up their card from her, start practicing how to use the system, try to lock and unlock the door",ask her some questions,Listening Comprehension,Listening & Comprehension,,
141,Textual,Easy,,"What comes next in the sequence? 2, 4, 8, 16, __?","20, 24, 32, 64",32,Mathematical & Arithmetic Reasoning,Mathematical & Arithmetic Reasoning,,
142,Textual,Easy,,"Which number is missing? 3, 6, 9, __, 15","10, 11, 12, 14",12,Mathematical & Arithmetic Reasoning,Mathematical & Arithmetic Reasoning,,
143,Textual,Easy,,"If all roses are flowers and some flowers fade quickly, can we conclude that some roses fade quickly?","Yes, No, Maybe, Not enough information",No,"Logical reasoning  ,  Syllogism",Logical & Verbal Reasoning,,
144,Textual,Easy,,Which shape is different?," ▲, ★, ■, ▪",★,"Visual discrimination  ,  Geometric shapes",Spatial & Visual Reasoning,,
145,Textual,Easy,,"What is the missing letter in the sequence? A, C, E, G, __?"," H, I, J,K",I,"Letter sequence  ,  Alphabet pattern",Pattern Recognition,,
146,Textual,Easy,,A farmer has 17 sheep. All but 9 run away. How many are left?,"0, 8, 9, 17",9,"Verbal reasoning  ,  Logical puzzle",Logical & Verbal Reasoning,,
147,Textual,Easy,,"If a triangle has three angles of 45°, 45°, and __, what is the missing angle?","45°, 60°, 90°, 120°",90°,"Mathematics  ,  Angle sum",Mathematical & Arithmetic Reasoning,,
148,Textual,Easy,,"John’s father has 5 children: Tom, Tim, Tam, Tum. What is the fifth child’s name?","Ten, Tun, John, Tom",John,"Verbal reasoning  ,  Logical puzzle",Logical & Verbal Reasoning,,
149,Textual,Easy,,Which word does not belong?," Apple, Banana, Carrot, Mango",Carrot,"Categorization  ,  Fruits vs Vegetables",General Knowledge & Categorization,,
150,Textual,Easy,,"What comes next? 1, 3, 7, 15, 31, __?","47, 50, 63, 62",63,"Number series  ,  Exponential growth",Pattern Recognition,,
151,Textual,Mid,,"Find the odd one out: Cat, Dog, Lion, Elephant.","Cat, Dog, Lion, Elephant",Lion,"Logical reasoning  ,  Categorization",Logical & Verbal Reasoning,,
152,Textual,Mid,,"If 5 machines take 5 minutes to make 5 products, how long will 100 machines take to make 100 products?","5 minutes, 10 minutes, 50 minutes,  100 minutes",5 minutes,"Logical reasoning  ,  Arithmetic reasoning",Mathematical & Arithmetic Reasoning,,
153,Textual,Mid,,"What is the missing number? 4, 9, 16, 25, __?","32, 36, 40, 49",36,"Numerical patterns  ,  Square numbers",Pattern Recognition,,
154,Textual,Mid,,"A clock strikes once at 1 o’clock, twice at 2 o’clock, three times at 3 o’clock, and so on. How many times does it strike in 12 hours?","66, 78, 90, 100",78,"Mathematical reasoning  ,  Sum of numbers",Mathematical & Arithmetic Reasoning,,
155,Textual,Mid,,"Rearrange the letters ""C I P F A I C"" to form a meaningful word.","Pacific, Capific, Facpic, Piffica",Pacific,"Word puzzle  ,  Anagram",Logical & Verbal Reasoning,,
156,Textual,Mid,,"If a plane crashes exactly on the border between two countries, where are the survivors buried?","Country A, Country B, Nowhere, Both countries",Nowhere,"Logical reasoning  ,  Problem-solving",Problem-Solving & Critical Thinking,,
157,Textual,Mid,,A bicycle has two wheels. How many bicycles are needed to have 100 wheels?,"25, 50, 75, 100",50,"Arithmetic reasoning  ,  Word problem",Mathematical & Arithmetic Reasoning,,
158,Textual,Mid,,"Which number should replace the question mark? 1, 11, 21, 1211, 111221, __?","312211,122111, 221111, 211112",312211,"Numerical patterns  ,  Look-and-say sequence",Pattern Recognition,,
159,Textual,Mid,,What is the 23rd prime number?,"71, 73, 83, 89",83,"Mathematical reasoning  ,  Prime numbers",Mathematical & Arithmetic Reasoning,,
160,Textual,Mid,,Which famous paradox questions how Achilles could never overtake a tortoise if the tortoise had a head start?,"Zeno’s Paradox, Schrödinger’s Paradox, Einstein’s Riddle, Turing’s Puzzle",Zeno’s Paradox,"Logical reasoning  ,  Paradoxes",Logical & Verbal Reasoning,,
161,Textual,Medium,,"What comes next in the series? 2, 6, 12, 20, 30, __?","38, 40, 42, 50",42,"Mathematical reasoning  ,  Number patterns",Mathematical & Arithmetic Reasoning,,
162,Textual,Medium,,"A triangle has sides 13 cm, 14 cm, and 15 cm. What is its area?"," 80 cm², 82 cm²,84 cm², 86 cm²",84 cm²,"Geometry  ,  Area of a triangle",General Knowledge & Categorization,,
163,Textual,Medium,,"Find the odd one out: L, O, S, W, T","L, O, S, W",W,"Logical reasoning  ,  Word association",Mathematical & Arithmetic Reasoning,,
164,Textual,Medium,,"John is twice as old as Jake. In 10 years, Jake will be 30. How old is John now?","40, 50, 60, 45",50,"Mathematical reasoning  ,  Age problem",Logical & Verbal Reasoning,,
165,Textual,Medium,,"What is the missing number? 5, 11, 23, 47, __?","95, 98, 103, 109",103,"Numerical pattern  ,  Multiply and add",Mathematical & Arithmetic Reasoning,,
166,Textual,Medium,,What will the word “CIPHER” look like in a mirror?," ɹǝɥdᴉƆ, ɹǝɥdᴉƆ, ɹǝɥԀᴉƆ, ƆᴉԀɥǝɹ",ɹǝɥdᴉƆ,"Word puzzle  ,  Mirror image",Pattern Recognition,,
167,Textual,Medium,,A 3x3 cube is painted on all sides and then cut into 27 smaller cubes. How many have exactly two faces painted?,"6, 8, 12, 18",12,"Geometry  ,  Cube faces",Spatial & Visual Reasoning,,
168,Textual,Medium,,"If 3 cats catch 3 mice in 3 minutes, how long will 100 cats take to catch 100 mice?","3 minutes, 30 minutes, 100 minutes, 1 minute",3 minutes,"Logical reasoning  ,  Rate and time",Problem-Solving & Critical Thinking,,
169,Textual,Medium,,"Which number comes next in the sequence? 1, 11, 21, 1211, 111221, __?","312211, 111222, 221111, 211112",312211,"Numerical sequence  ,  Look-and-say",Pattern Recognition,,
170,Textual,Medium,,"What comes next? A, Z, B, Y, C, X, __?","D, W, E, V",D,"Letter sequence  ,  Alphabet pattern",Spatial & Visual Reasoning,,
171,Textual,Hard,,"If the hour and minute hands of a clock overlap at 12:00, when will they overlap again?"," 1:05, 1:10, 1:12, 1:20",1:12,Time and Clock,General Knowledge & Categorization,,
172,Textual,Hard,,"Which number should replace the question mark? 2, 3, 5, 9, 17, ?","28, 31, 33,  35",33,Numerical Pattern,General Knowledge & Categorization,,
173,Textual,Hard,,"A cube has a total of how many faces, edges, and vertices?","6 | 12 | 8, 
 6 | 8 | 12 , 8 | 6 |12, 12 | 6 | 8","6, 12, 8",Geometry,Spatial & Visual Reasoning,,
174,Textual,Hard,,What is the sum of the first 20 even numbers?,"210, 420, 820, 800",420,"Arithmetic  ,  Series Sum",Problem-Solving & Critical Thinking,,
175,Textual,Hard,,Which number is a palindrome?,"45654, 89198, 13231, All of the above",All of the above,"Number Recognition  ,  Palindrome",Pattern Recognition,,
176,Textual,Hard,,"What comes next in the sequence? 3, 7, 15, 31, 63, __?","95, 127, 120, 130",127,"Numerical Pattern  ,  Exponential growth",Logical & Verbal Reasoning,,
177,Textual,Hard,,"You are given two ropes, each taking exactly one hour to burn, but they burn at uneven rates. How can you measure exactly 45 minutes?","Burn both ropes from one end, Burn one rope at both ends and the second rope at one end, then burn the second rope at both ends when the first finishes,  Cut one rope into ¾ and burn it separately, Burn one rope at three points","Burn one rope at both ends and the second at one end, then burn the second rope at both ends when the first finishes","Logical Reasoning  ,  Problem-solving",Pattern Recognition,,
178,Textual,Hard,,Which of the following numbers is a prime number?,"87, 97,91,93",97,"Mathematical Reasoning  ,  Prime Numbers",Problem-Solving & Critical Thinking,,
179,Textual,Hard,,"A 5-letter word is written in reverse order, and the middle letter remains unchanged. What is the word?","LEVEL, MADAM, REFER, CIVIC",MADAM,"Word Puzzle  ,  Palindrome",Problem-Solving & Critical Thinking,,
180,Textual,Hard,,How many times do the hands of a clock overlap in a 12-hour period?,"11, 12, 13, 10",11,"Time and Clock  ,  Overlap Problem",General Knowledge & Categorization,,
181,Textual,Advanced,,A frog falls into a 30-meter-deep well. It climbs 3 meters every day but slips 2 meters at night. How many days does it take to escape?,"27, 28, 29, 30",28,"Logical reasoning  ,  Problem-solving",Mathematical & Arithmetic Reasoning,,
182,Textual,Advanced,,"What comes next in the pattern? 1, 4, 9, 16, 25, __?","35, 36, 49, 50",36,"Numerical pattern  ,  Perfect squares",Mathematical & Arithmetic Reasoning,,
183,Textual,Advanced,,"Which number does not belong in the sequence? 2, 6, 12, 20, 30, 42, 56, 72, 90","12, 30, 42, 72",30,"Logical reasoning  ,  Number patterns",Problem-Solving & Critical Thinking,,
